"make","fuel-type","aspiration","num-of-doors","body-style","drive-wheels","engine-location","wheel-base","length","width","height","curb-weight","engine-type","num-of-cylinders","engine-size","fuel-system","stroke","compression-ratio","horsepower","peak-rpm","city-mpg","highway-mpg","price","symboling"
"chevrolet","gas","std","two","hatchback","fwd","front",88.4,141.1,60.3,53.2,1488,"l","three",61,"2bbl","3.03",9.5,"48","5100",47,53,5151,2
"chevrolet","gas","std","two","hatchback","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl","3.11",9.6,"70","5400",38,43,6295,1
"chevrolet","gas","std","four","sedan","fwd","front",94.5,158.8,63.6,52,1909,"ohc","four",90,"2bbl","3.11",9.6,"70","5400",38,43,6575,0
"dodge","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl","3.23",9.41,"68","5500",37,41,5572,1
"dodge","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl","3.23",9.4,"68","5500",31,38,6377,1
"dodge","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"mpfi","3.39",7.6,"102","5500",24,30,7957,1
"dodge","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl","3.23",9.4,"68","5500",31,38,6229,1
"dodge","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl","3.23",9.4,"68","5500",31,38,6692,1
"dodge","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl","3.23",9.4,"68","5500",31,38,7609,1
"dodge","gas","turbo","?","sedan","fwd","front",93.7,157.3,63.8,50.6,2191,"ohc","four",98,"mpfi","3.39",7.6,"102","5500",24,30,8558,1
"dodge","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl","3.46",8.5,"88","5000",24,30,8921,-1
"honda","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1713,"ohc","four",92,"1bbl","3.41",9.6,"58","4800",49,54,6479,2
"honda","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc","four",92,"1bbl","3.41",9.2,"76","6000",31,38,6855,2
"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1837,"ohc","four",79,"1bbl","3.07",10.1,"60","5500",38,42,5399,1
"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1940,"ohc","four",92,"1bbl","3.41",9.2,"76","6000",30,34,6529,1
"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc","four",92,"1bbl","3.41",9.2,"76","6000",30,34,7129,1
"honda","gas","std","four","sedan","fwd","front",96.5,163.4,64,54.5,2010,"ohc","four",92,"1bbl","3.41",9.2,"76","6000",30,34,7295,0
"honda","gas","std","four","wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","four",92,"1bbl","3.41",9.2,"76","6000",30,34,7295,0
"honda","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2236,"ohc","four",110,"1bbl","3.58",9,"86","5800",27,33,7895,0
"honda","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2289,"ohc","four",110,"1bbl","3.58",9,"86","5800",27,33,9095,0
"honda","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2304,"ohc","four",110,"1bbl","3.58",9,"86","5800",27,33,8845,0
"isuzu","gas","std","four","sedan","rwd","front",94.3,170.7,61.8,53.5,2337,"ohc","four",111,"2bbl","3.23",8.5,"78","4800",24,29,6785,0
"mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1890,"ohc","four",91,"2bbl","3.15",9,"68","5000",30,31,5195,1
"mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1900,"ohc","four",91,"2bbl","3.15",9,"68","5000",31,38,6095,1
"mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1905,"ohc","four",91,"2bbl","3.15",9,"68","5000",31,38,6795,1
"mazda","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1945,"ohc","four",91,"2bbl","3.15",9,"68","5000",31,38,6695,1
"mazda","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1950,"ohc","four",91,"2bbl","3.15",9,"68","5000",31,38,7395,1
"mazda","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl","3.39",8.6,"84","4800",26,32,8845,1
"mazda","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl","3.39",8.6,"84","4800",26,32,8495,0
"mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1918,"ohc","four",92,"2bbl","3.23",9.4,"68","5500",37,41,5389,2
"mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1944,"ohc","four",92,"2bbl","3.23",9.4,"68","5500",31,38,6189,2
"mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,2004,"ohc","four",92,"2bbl","3.23",9.4,"68","5500",31,38,6669,2
"mitsubishi","gas","turbo","two","hatchback","fwd","front",93,157.3,63.8,50.8,2145,"ohc","four",98,"spdi","3.39",7.6,"102","5500",24,30,7689,1
"mitsubishi","gas","turbo","two","hatchback","fwd","front",96.3,173,65.4,49.4,2370,"ohc","four",110,"spdi","3.46",7.5,"116","5500",23,30,9959,3
"mitsubishi","gas","std","two","hatchback","fwd","front",96.3,173,65.4,49.4,2328,"ohc","four",122,"2bbl","3.46",8.5,"88","5000",25,32,8499,3
"mitsubishi","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2365,"ohc","four",122,"2bbl","3.46",8.5,"88","5000",25,32,6989,1
"mitsubishi","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2405,"ohc","four",122,"2bbl","3.46",8.5,"88","5000",25,32,8189,1
"mitsubishi","gas","turbo","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","four",110,"spdi","3.46",7.5,"116","5500",23,30,9279,1
"mitsubishi","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","four",110,"spdi","3.46",7.5,"116","5500",23,30,9279,-1
"nissan","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1889,"ohc","four",97,"2bbl","3.29",9.4,"69","5200",31,37,5499,1
"nissan","diesel","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,2017,"ohc","four",103,"idi","3.47",21.9,"55","4800",45,50,7099,1
"nissan","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1918,"ohc","four",97,"2bbl","3.29",9.4,"69","5200",31,37,6649,1
"nissan","gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1938,"ohc","four",97,"2bbl","3.29",9.4,"69","5200",31,37,6849,1
"nissan","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2024,"ohc","four",97,"2bbl","3.29",9.4,"69","5200",31,37,7349,1
"nissan","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1951,"ohc","four",97,"2bbl","3.29",9.4,"69","5200",31,37,7299,1
"nissan","gas","std","two","hatchback","fwd","front",94.5,165.6,63.8,53.3,2028,"ohc","four",97,"2bbl","3.29",9.4,"69","5200",31,37,7799,1
"nissan","gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1971,"ohc","four",97,"2bbl","3.29",9.4,"69","5200",31,37,7499,1
"nissan","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2037,"ohc","four",97,"2bbl","3.29",9.4,"69","5200",31,37,7999,1
"nissan","gas","std","two","hardtop","fwd","front",95.1,162.4,63.8,53.3,2008,"ohc","four",97,"2bbl","3.29",9.4,"69","5200",31,37,8249,2
"nissan","gas","std","four","hatchback","fwd","front",97.2,173.4,65.2,54.7,2324,"ohc","four",120,"2bbl","3.47",8.5,"97","5200",27,34,8949,0
"nissan","gas","std","four","sedan","fwd","front",97.2,173.4,65.2,54.7,2302,"ohc","four",120,"2bbl","3.47",8.5,"97","5200",27,34,9549,0
"plymouth","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1918,"ohc","four",90,"2bbl","3.23",9.4,"68","5500",37,41,5572,1
"plymouth","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"spdi","3.39",7.6,"102","5500",24,30,7957,1
"plymouth","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl","3.23",9.4,"68","5500",31,38,6229,1
"plymouth","gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,1989,"ohc","four",90,"2bbl","3.23",9.4,"68","5500",31,38,6692,1
"plymouth","gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,2191,"ohc","four",98,"2bbl","3.23",9.4,"68","5500",31,38,7609,1
"plymouth","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl","3.46",8.5,"88","5000",24,30,8921,-1
"renault","gas","std","four","wagon","fwd","front",96.1,181.5,66.5,55.2,2579,"ohc","four",132,"mpfi","3.9",8.7,"?","?",23,31,9295,0
"renault","gas","std","two","hatchback","fwd","front",96.1,176.8,66.6,50.5,2460,"ohc","four",132,"mpfi","3.9",8.7,"?","?",23,31,9895,2
"subaru","gas","std","two","hatchback","fwd","front",93.7,156.9,63.4,53.7,2050,"ohcf","four",97,"2bbl","2.36",9,"69","4900",31,36,5118,2
"subaru","gas","std","two","hatchback","fwd","front",93.7,157.9,63.6,53.7,2120,"ohcf","four",108,"2bbl","2.64",8.7,"73","4400",26,31,7053,2
"subaru","gas","std","two","hatchback","4wd","front",93.3,157.3,63.8,55.7,2240,"ohcf","four",108,"2bbl","2.64",8.7,"73","4400",26,31,7603,2
"subaru","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2145,"ohcf","four",108,"2bbl","2.64",9.5,"82","4800",32,37,7126,0
"subaru","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2190,"ohcf","four",108,"2bbl","2.64",9.5,"82","4400",28,33,7775,0
"subaru","gas","std","four","sedan","fwd","front",97.2,172,65.4,52.5,2340,"ohcf","four",108,"mpfi","2.64",9,"94","5200",26,32,9960,0
"subaru","gas","std","four","sedan","4wd","front",97,172,65.4,54.3,2385,"ohcf","four",108,"2bbl","2.64",9,"82","4800",24,25,9233,0
"subaru","gas","std","four","wagon","fwd","front",97,173.5,65.4,53,2290,"ohcf","four",108,"2bbl","2.64",9,"82","4800",28,32,7463,0
"subaru","gas","std","four","wagon","4wd","front",96.9,173.6,65.4,54.9,2420,"ohcf","four",108,"2bbl","2.64",9,"82","4800",23,29,8013,0
"toyota","gas","std","two","hatchback","fwd","front",95.7,158.7,63.6,54.5,1985,"ohc","four",92,"2bbl","3.03",9,"62","4800",35,39,5348,1
"toyota","gas","std","two","hatchback","fwd","front",95.7,158.7,63.6,54.5,2040,"ohc","four",92,"2bbl","3.03",9,"62","4800",31,38,6338,1
"toyota","gas","std","four","hatchback","fwd","front",95.7,158.7,63.6,54.5,2015,"ohc","four",92,"2bbl","3.03",9,"62","4800",31,38,6488,1
"toyota","gas","std","four","wagon","fwd","front",95.7,169.7,63.6,59.1,2280,"ohc","four",92,"2bbl","3.03",9,"62","4800",31,37,6918,0
"toyota","gas","std","four","wagon","4wd","front",95.7,169.7,63.6,59.1,2290,"ohc","four",92,"2bbl","3.03",9,"62","4800",27,32,7898,0
